FirstSeen,Title,Artist,PeakRank,WeeksOnBoard,ArtistList
2020-10-03,Without You,Luke Combs Featuring Amanda Shires,70,2,Amanda Shires;Luke Combs
2020-10-03,One Too Many,Keith Urban Duet With P!nk,52,34,P!nk;Keith Urban
2020-09-19,Everywhere But On,Matt Stell,48,12,Matt Stell
2020-09-19,Love You Like I Used To,Russell Dickerson,31,20,Russell Dickerson
2020-09-12,Ain't Always The Cowboy,Jon Pardi,55,18,Jon Pardi
2020-09-12,Starting Over,Chris Stapleton,25,34,Chris Stapleton
2020-08-29,Lonely If You Are,Chase Rice,91,6,Chase Rice
2020-08-29,Midnight Sky,Miley Cyrus,14,20,Miley Cyrus
2020-08-29,7 Summers,Morgan Wallen,6,24,Morgan Wallen
2020-08-22,Some Girls,Jameson Rodgers,29,17,Jameson Rodgers
2020-08-15,I Should Probably Go To Bed,Dan + Shay,28,24,Dan + Shay
2020-08-08,Hoax,Taylor Swift,71,1,Taylor Swift
2020-08-08,Peace,Taylor Swift,58,1,Taylor Swift
2020-08-08,Epiphany,Taylor Swift,57,1,Taylor Swift
2020-08-08,Mad Woman,Taylor Swift,47,1,Taylor Swift
2020-08-08,Illicit Affairs,Taylor Swift,44,1,Taylor Swift
2020-08-08,Betty,Taylor Swift,42,2,Taylor Swift
2020-08-08,This Is Me Trying,Taylor Swift,39,1,Taylor Swift
2020-08-08,Invisible String,Taylor Swift,37,2,Taylor Swift
2020-08-08,Seven,Taylor Swift,35,2,Taylor Swift
2020-08-08,Happy Anywhere,Blake Shelton Featuring Gwen Stefani,32,22,Blake Shelton;Gwen Stefani
2020-08-08,Mirrorball,Taylor Swift,26,2,Taylor Swift
2020-08-08,August,Taylor Swift,23,2,Taylor Swift
2020-08-08,My Tears Ricochet,Taylor Swift,16,2,Taylor Swift
2020-08-08,The Last Great American Dynasty,Taylor Swift,13,2,Taylor Swift
2020-08-08,Exile,Taylor Swift Featuring Bon Iver,6,5,Bon Iver;Taylor Swift
2020-08-08,The 1,Taylor Swift,4,6,Taylor Swift
2020-08-08,Cardigan,Taylor Swift,1,14,Taylor Swift
2020-07-25,Be Like That,Kane Brown With Swae Lee & Khalid,19,21,Kane Brown;Swae Lee & Khalid
2020-07-11,Stick That In Your Country Song,Eric Church,92,1,Eric Church
2020-07-11,I Called Mama,Tim McGraw,53,12,Tim McGraw
2020-07-11,Lovin' On You,Luke Combs,23,20,Luke Combs
2020-06-27,The Man Who Loves You The Most,Zac Brown Band,96,1,Zac Brown Band
2020-06-27,Done,Chris Janson,41,12,Chris Janson
2020-06-20,Worldwide Beautiful,Kane Brown,100,1,Kane Brown
2020-06-20,Hard Days,Brantley Gilbert,95,1,Brantley Gilbert
2020-06-13,Why We Drink,Justin Moore,50,15,Justin Moore
2020-06-13,One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,33,25,HARDY;Devin Dawson;Lauren Alaina
2020-06-13,One Of Them Girls,Lee Brice,17,26,Lee Brice
2020-06-13,Got What I Got,Jason Aldean,16,25,Jason Aldean
2020-05-16,Six Feet Apart,Luke Combs,58,2,Luke Combs
2020-05-16,One Margarita,Luke Bryan,19,20,Luke Bryan
2020-05-09,Drinking Alone,Carrie Underwood,74,7,Carrie Underwood
2020-05-09,Cool Again,Kane Brown,29,20,Kane Brown
2020-05-02,I Dare You,Kelly Clarkson,86,1,Kelly Clarkson
2020-05-02,God Whispered Your Name,Keith Urban,60,20,Keith Urban
2020-05-02,More Than My Hometown,Morgan Wallen,15,32,Morgan Wallen
2020-04-25,In Between,Scotty McCreery,53,13,Scotty McCreery
2020-04-25,Die From A Broken Heart,Maddie & Tae,22,25,Maddie & Tae
2020-04-18,Be A Light,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",42,22,Thomas Rhett;Reba McEntire;Hillary Scott;Chris Tomlin;Keith Urban
2020-04-18,Here And Now,Kenny Chesney,38,15,Kenny Chesney
2020-04-18,Bluebird,Miranda Lambert,26,20,Miranda Lambert
2020-04-11,Last Time I Say Sorry,Kane Brown & John Legend,89,2,John Legend;Kane Brown
2020-04-11,I Love My Country,Florida Georgia Line,40,20,Florida Georgia Line
2020-04-11,After A Few,Travis Denning,31,15,Travis Denning
2020-04-11,Hard To Forget,Sam Hunt,26,20,Sam Hunt
2020-03-28,Beer Can't Fix,Thomas Rhett Featuring Jon Pardi,36,18,Thomas Rhett;Jon Pardi
2020-03-28,Does To Me,Luke Combs Featuring Eric Church,20,19,Luke Combs;Eric Church
2020-02-15,Only The Young,Taylor Swift,50,1,Taylor Swift
2020-02-08,Dive Bar,Garth Brooks & Blake Shelton,78,5,Garth Brooks;Blake Shelton
2020-02-08,Homemade,Jake Owen,39,16,Jake Owen
2020-02-08,Catch,Brett Young,29,17,Brett Young
2020-02-08,Chasin' You,Morgan Wallen,16,36,Morgan Wallen
2020-01-18,I Hope You're Happy Now,Carly Pearce & Lee Brice,27,25,Carly Pearce;Lee Brice
2020-01-11,Make Me Want To,Jimmie Allen,49,10,Jimmie Allen
2020-01-11,Slow Dance In A Parking Lot,Jordan Davis,37,19,Jordan Davis
2020-01-11,More Hearts Than Mine,Ingrid Andress,30,20,Ingrid Andress
2019-12-28,Nobody But You,Blake Shelton Duet With Gwen Stefani,18,25,Blake Shelton;Gwen Stefani
2019-12-21,Christmas Tree Farm,Taylor Swift,59,1,Taylor Swift
2019-11-30,Hell Right,Blake Shelton Featuring Trace Adkins,99,1,Trace Adkins;Blake Shelton
2019-11-30,We Back,Jason Aldean,62,16,Jason Aldean
2019-11-30,Homesick,Kane Brown,35,21,Kane Brown
2019-11-23,Better Together,Luke Combs,15,25,Luke Combs
2019-11-16,For My Daughter,Kane Brown,90,1,Kane Brown
2019-11-16,It All Comes Out In The Wash,Miranda Lambert,70,2,Miranda Lambert
2019-11-16,Ridin' Roads,Dustin Lynch,47,20,Dustin Lynch
2019-11-09,What She Wants Tonight,Luke Bryan,46,17,Luke Bryan
2019-10-26,Kinfolks,Sam Hunt,34,21,Sam Hunt
2019-10-19,"10,000 Hours",Dan + Shay & Justin Bieber,4,30,Dan + Shay;Justin Bieber
2019-10-12,Heartache Medication,Jon Pardi,42,20,Jon Pardi
2019-09-28,"1, 2 Many",Luke Combs & Brooks & Dunn,97,1,Luke Combs;Brooks & Dunn
2019-09-28,Remember You Young,Thomas Rhett,53,18,Thomas Rhett
2019-09-28,Don't Call Me Angel (Charlie's Angels),"Ariana Grande, Miley Cyrus & Lana Del Rey",13,7,Ariana Grande;Lana Del Rey;Miley Cyrus
2019-09-21,homecoming queen?,Kelsea Ballerini,65,13,Kelsea Ballerini
2019-09-14,Good Vibes,Chris Janson,48,13,Chris Janson
2019-09-14,The Bones,Maren Morris,12,52,Maren Morris
