song,artist,year,month,n_weeks,rank_w_mean,dolly_parton,date_short
Can't Help Falling In Love,Elvis Presley With The Jordanaires,1962,1,4,4.25,0,1962-01-01
Can't Help Falling In Love,Elvis Presley With The Jordanaires,1962,2,4,6.5,0,1962-02-01
Can't Help Falling In Love,Elvis Presley With The Jordanaires,1962,3,2,34.5,0,1962-03-01
Can't You Just See Me,Aretha Franklin,1965,1,1,99.0,0,1965-01-01
Can't You Just See Me,Aretha Franklin,1965,2,1,96.0,0,1965-02-01
Cardigan,Taylor Swift,2020,8,4,16.5,0,2020-08-01
Cardigan,Taylor Swift,2020,9,4,46.25,0,2020-09-01
Cardigan,Taylor Swift,2020,10,5,70.4,0,2020-10-01
Cardigan,Taylor Swift,2020,11,1,96.0,0,2020-11-01
Causing A Commotion,Madonna,1987,9,3,32.333333333333336,0,1987-09-01
Causing A Commotion,Madonna,1987,10,5,6.8,0,1987-10-01
Causing A Commotion,Madonna,1987,11,4,15.5,0,1987-11-01
Causing A Commotion,Madonna,1987,12,4,68.75,0,1987-12-01
Causing A Commotion,Madonna,1988,1,2,97.5,0,1988-01-01
Celebration,Madonna,2009,8,1,71.0,0,2009-08-01
Chain Of Fools,Aretha Franklin,1967,12,4,29.75,0,1967-12-01
Chain Of Fools,Aretha Franklin,1968,1,4,4.25,0,1968-01-01
Chain Of Fools,Aretha Franklin,1968,2,4,13.0,0,1968-02-01
Champagne Problems,Taylor Swift,2020,12,1,21.0,0,2020-12-01
Champagne Problems,Taylor Swift,2021,1,1,77.0,0,2021-01-01
Change,Taylor Swift,2008,8,1,10.0,0,2008-08-01
Change,Taylor Swift,2008,9,2,69.5,0,2008-09-01
Cherish,Madonna,1989,8,2,32.5,0,1989-08-01
Cherish,Madonna,1989,9,5,10.6,0,1989-09-01
Cherish,Madonna,1989,10,4,9.75,0,1989-10-01
Cherish,Madonna,1989,11,4,66.5,0,1989-11-01
Christmas Tree Farm,Taylor Swift,2019,12,1,59.0,0,2019-12-01
Clean Up Your Own Back Yard,Elvis Presley,1969,7,4,64.0,0,1969-07-01
Clean Up Your Own Back Yard,Elvis Presley,1969,8,4,36.25,0,1969-08-01
Closure,Taylor Swift,2020,12,1,82.0,0,2020-12-01
Come In With The Rain,Taylor Swift,2009,11,1,30.0,0,2009-11-01
Come To Me,Aretha Franklin,1981,5,1,86.0,0,1981-05-01
Come To Me,Aretha Franklin,1981,6,2,89.0,0,1981-06-01
Coney Island,Taylor Swift Featuring The National,2020,12,1,63.0,0,2020-12-01
Cornelia Street,Taylor Swift,2019,9,1,57.0,0,2019-09-01
Cowboy Like Me,Taylor Swift,2020,12,1,71.0,0,2020-12-01
Crazier,Taylor Swift,2009,4,3,59.666666666666664,0,2009-04-01
Crazier,Taylor Swift,2009,5,5,54.4,0,2009-05-01
Crazy For You,Madonna,1985,3,5,31.6,0,1985-03-01
Crazy For You,Madonna,1985,4,4,2.75,0,1985-04-01
Crazy For You,Madonna,1985,5,4,2.75,0,1985-05-01
Crazy For You,Madonna,1985,6,5,34.2,0,1985-06-01
Crazy For You,Madonna,1985,7,3,83.66666666666667,0,1985-07-01
Cruel Summer,Taylor Swift,2019,9,2,50.0,0,2019-09-01
Crying In The Chapel,Elvis Presley With The Jordanaires,1965,4,1,79.0,0,1965-04-01
Crying In The Chapel,Elvis Presley With The Jordanaires,1965,5,5,25.2,0,1965-05-01
Crying In The Chapel,Elvis Presley With The Jordanaires,1965,6,4,4.25,0,1965-06-01
Crying In The Chapel,Elvis Presley With The Jordanaires,1965,7,4,21.0,0,1965-07-01
Day Dreaming,Aretha Franklin,1972,3,2,45.0,0,1972-03-01
Day Dreaming,Aretha Franklin,1972,4,5,10.6,0,1972-04-01
Day Dreaming,Aretha Franklin,1972,5,4,9.75,0,1972-05-01
Day Dreaming,Aretha Franklin,1972,6,1,35.0,0,1972-06-01
Daylight,Taylor Swift,2019,9,1,89.0,0,2019-09-01
Dear John,Taylor Swift,2010,11,1,54.0,0,2010-11-01
Death By A Thousand Cuts,Taylor Swift,2019,9,1,67.0,0,2019-09-01
Deeper And Deeper,Madonna,1992,12,4,22.75,0,1992-12-01
Deeper And Deeper,Madonna,1993,1,5,9.4,0,1993-01-01
Deeper And Deeper,Madonna,1993,2,4,20.25,0,1993-02-01
Deeper And Deeper,Madonna,1993,3,4,72.25,0,1993-03-01
Delicate,Taylor Swift,2018,3,2,75.0,0,2018-03-01
Delicate,Taylor Swift,2018,4,4,50.75,0,2018-04-01
Delicate,Taylor Swift,2018,5,4,47.5,0,2018-05-01
Delicate,Taylor Swift,2018,6,5,30.2,0,2018-06-01
Delicate,Taylor Swift,2018,7,4,17.5,0,2018-07-01
Delicate,Taylor Swift,2018,8,4,14.5,0,2018-08-01
Delicate,Taylor Swift,2018,9,5,25.0,0,2018-09-01
Delicate,Taylor Swift,2018,10,4,33.25,0,2018-10-01
Delicate,Taylor Swift,2018,11,3,43.333333333333336,0,2018-11-01
Die Another Day,Madonna,2002,10,2,34.5,0,2002-10-01
Die Another Day,Madonna,2002,11,5,10.8,0,2002-11-01
Die Another Day,Madonna,2002,12,4,21.5,0,2002-12-01
Die Another Day,Madonna,2003,1,4,66.25,0,2003-01-01
Die Another Day,Madonna,2003,2,2,95.5,0,2003-02-01
Do The Clam,"Elvis Presley With The Jordanaires, Jubilee Four & Carol Lombard Trio",1965,2,1,68.0,0,1965-02-01
Do The Clam,"Elvis Presley With The Jordanaires, Jubilee Four & Carol Lombard Trio",1965,3,4,34.75,0,1965-03-01
Do The Clam,"Elvis Presley With The Jordanaires, Jubilee Four & Carol Lombard Trio",1965,4,3,25.333333333333332,0,1965-04-01
Don't Ask Me Why,Elvis Presley With The Jordanaires,1958,8,4,49.25,0,1958-08-01
Don't Ask Me Why,Elvis Presley With The Jordanaires,1958,9,1,70.0,0,1958-09-01
Don't Cry Daddy/Rubberneckin',Elvis Presley,1969,11,1,73.0,0,1969-11-01
Don't Cry Daddy/Rubberneckin',Elvis Presley,1969,12,4,31.25,0,1969-12-01
Don't Cry Daddy/Rubberneckin',Elvis Presley,1970,1,5,9.2,0,1970-01-01
Don't Cry Daddy/Rubberneckin',Elvis Presley,1970,2,3,18.666666666666668,0,1970-02-01
"Don't Cry For Me Argentina (From ""Evita"")",Madonna,1997,2,1,17.0,0,1997-02-01
"Don't Cry For Me Argentina (From ""Evita"")",Madonna,1997,3,5,13.2,0,1997-03-01
"Don't Cry For Me Argentina (From ""Evita"")",Madonna,1997,4,4,48.25,0,1997-04-01
"Don't Cry For Me Argentina (From ""Evita"")",Madonna,1997,5,5,86.2,0,1997-05-01
"Don't Cry For Me Argentina (From ""Evita"")",Madonna,1997,6,1,98.0,0,1997-06-01
"Don't Cry, Baby",Aretha Franklin,1962,7,1,92.0,0,1962-07-01
Don't Play That Song,Aretha Franklin with The Dixie Flyers,1970,8,4,37.75,0,1970-08-01
Don't Play That Song,Aretha Franklin with The Dixie Flyers,1970,9,4,11.5,0,1970-09-01
Don't Play That Song,Aretha Franklin with The Dixie Flyers,1970,10,2,20.5,0,1970-10-01
Don't Tell Me,Madonna,2000,12,4,49.25,0,2000-12-01
Don't Tell Me,Madonna,2001,1,4,20.75,0,2001-01-01
Don't Tell Me,Madonna,2001,2,4,5.0,0,2001-02-01
Don't Tell Me,Madonna,2001,3,5,8.6,0,2001-03-01
Don't Tell Me,Madonna,2001,4,4,31.0,0,2001-04-01
Dorothea,Taylor Swift,2020,12,1,67.0,0,2020-12-01
Downtown,Dolly Parton,1984,4,3,83.33333333333333,1,1984-04-01
Downtown,Dolly Parton,1984,5,1,95.0,1,1984-05-01
Dress You Up,Madonna,1985,8,3,30.0,0,1985-08-01
Dress You Up,Madonna,1985,9,4,11.75,0,1985-09-01
Dress You Up,Madonna,1985,10,4,14.25,0,1985-10-01
