song,artist,year,month,n_weeks,rank_w_mean,dolly_parton,date_short
I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,2017,6,1,48.0,0,2017-06-01
I Feel So Bad,Elvis Presley,1961,5,3,23.0,0,1961-05-01
I Feel So Bad,Elvis Presley,1961,6,4,10.25,0,1961-06-01
I Feel So Bad,Elvis Presley,1961,7,2,60.5,0,1961-07-01
I Forgot That You Existed,Taylor Swift,2019,9,2,51.0,0,2019-09-01
I Got Stung,Elvis Presley,1958,11,4,25.5,0,1958-11-01
I Got Stung,Elvis Presley,1958,12,5,10.4,0,1958-12-01
I Got Stung,Elvis Presley,1959,1,4,21.25,0,1959-01-01
I Got Stung,Elvis Presley,1959,2,3,70.66666666666667,0,1959-02-01
I Gotta Know,Elvis Presley With The Jordanaires,1960,11,3,51.666666666666664,0,1960-11-01
I Gotta Know,Elvis Presley With The Jordanaires,1960,12,4,29.0,0,1960-12-01
I Gotta Know,Elvis Presley With The Jordanaires,1961,1,4,36.25,0,1961-01-01
I Knew You Were Trouble.,Taylor Swift,2012,10,1,3.0,0,2012-10-01
I Knew You Were Trouble.,Taylor Swift,2012,11,3,51.666666666666664,0,2012-11-01
I Knew You Were Trouble.,Taylor Swift,2012,12,5,36.2,0,2012-12-01
I Knew You Were Trouble.,Taylor Swift,2013,1,4,3.25,0,2013-01-01
I Knew You Were Trouble.,Taylor Swift,2013,2,4,4.75,0,2013-02-01
I Knew You Were Trouble.,Taylor Swift,2013,3,5,5.2,0,2013-03-01
I Knew You Were Trouble.,Taylor Swift,2013,4,4,14.25,0,2013-04-01
I Knew You Were Trouble.,Taylor Swift,2013,5,4,32.5,0,2013-05-01
I Knew You Were Trouble.,Taylor Swift,2013,6,5,44.6,0,2013-06-01
I Knew You Were Trouble.,Taylor Swift,2013,7,1,49.0,0,2013-07-01
I Knew You Were Waiting (For Me),Aretha Franklin & George Michael,1987,2,2,51.5,0,1987-02-01
I Knew You Were Waiting (For Me),Aretha Franklin & George Michael,1987,3,4,20.25,0,1987-03-01
I Knew You Were Waiting (For Me),Aretha Franklin & George Michael,1987,4,4,2.75,0,1987-04-01
I Knew You Were Waiting (For Me),Aretha Franklin & George Michael,1987,5,5,23.8,0,1987-05-01
I Knew You Were Waiting (For Me),Aretha Franklin & George Michael,1987,6,2,75.0,0,1987-06-01
I Need Your Love Tonight,Elvis Presley With The Jordanaires,1959,3,1,33.0,0,1959-03-01
I Need Your Love Tonight,Elvis Presley With The Jordanaires,1959,4,4,8.25,0,1959-04-01
I Need Your Love Tonight,Elvis Presley With The Jordanaires,1959,5,4,13.5,0,1959-05-01
I Need Your Love Tonight,Elvis Presley With The Jordanaires,1959,6,4,52.5,0,1959-06-01
I Never Loved A Man (The Way I Love You),Aretha Franklin,1967,3,4,44.25,0,1967-03-01
I Never Loved A Man (The Way I Love You),Aretha Franklin,1967,4,5,11.6,0,1967-04-01
I Never Loved A Man (The Way I Love You),Aretha Franklin,1967,5,2,24.0,0,1967-05-01
I Really Don't Want To Know/There Goes My Everything,Elvis Presley,1970,12,1,56.0,0,1970-12-01
I Really Don't Want To Know/There Goes My Everything,Elvis Presley,1971,1,5,27.0,0,1971-01-01
I Really Don't Want To Know/There Goes My Everything,Elvis Presley,1971,2,3,26.666666666666668,0,1971-02-01
I Say A Little Prayer,Aretha Franklin,1968,8,3,48.666666666666664,0,1968-08-01
I Say A Little Prayer,Aretha Franklin,1968,9,4,16.25,0,1968-09-01
I Say A Little Prayer,Aretha Franklin,1968,10,4,17.5,0,1968-10-01
"I Surrender, Dear",Aretha Franklin,1962,2,4,95.75,0,1962-02-01
"I Surrender, Dear",Aretha Franklin,1962,3,1,87.0,0,1962-03-01
I Think He Knows,Taylor Swift,2019,9,1,51.0,0,2019-09-01
I Will Always Love You,Dolly Parton,1982,7,1,87.0,1,1982-07-01
I Will Always Love You,Dolly Parton,1982,8,4,66.0,1,1982-08-01
I Will Always Love You,Dolly Parton,1982,9,4,54.25,1,1982-09-01
I Will Always Love You,Dolly Parton,1982,10,5,96.4,1,1982-10-01
"I'll Remember (From ""With Honors"")",Madonna,1994,4,5,20.0,0,1994-04-01
"I'll Remember (From ""With Honors"")",Madonna,1994,5,4,4.0,0,1994-05-01
"I'll Remember (From ""With Honors"")",Madonna,1994,6,4,2.75,0,1994-06-01
"I'll Remember (From ""With Honors"")",Madonna,1994,7,5,10.4,0,1994-07-01
"I'll Remember (From ""With Honors"")",Madonna,1994,8,4,19.75,0,1994-08-01
"I'll Remember (From ""With Honors"")",Madonna,1994,9,4,41.25,0,1994-09-01
I'm In Love,Aretha Franklin,1974,4,4,62.0,0,1974-04-01
I'm In Love,Aretha Franklin,1974,5,4,27.5,0,1974-05-01
I'm In Love,Aretha Franklin,1974,6,5,34.4,0,1974-06-01
I'm Leavin',Elvis Presley,1971,7,4,59.5,0,1971-07-01
I'm Leavin',Elvis Presley,1971,8,4,45.25,0,1971-08-01
I'm Leavin',Elvis Presley,1971,9,1,78.0,0,1971-09-01
I'm Yours,Elvis Presley,1965,8,1,83.0,0,1965-08-01
I'm Yours,Elvis Presley,1965,9,4,42.5,0,1965-09-01
I'm Yours,Elvis Presley,1965,10,5,16.2,0,1965-10-01
I'm Yours,Elvis Presley,1965,11,1,50.0,0,1965-11-01
I've Got A Thing About You Baby/Take Good Care Of Her,Elvis Presley,1974,2,3,71.66666666666667,0,1974-02-01
I've Got A Thing About You Baby/Take Good Care Of Her,Elvis Presley,1974,3,5,42.4,0,1974-03-01
I've Got A Thing About You Baby/Take Good Care Of Her,Elvis Presley,1974,4,4,57.5,0,1974-04-01
I've Lost You/The Next Step Is Love,Elvis Presley,1970,8,5,48.8,0,1970-08-01
I've Lost You/The Next Step Is Love,Elvis Presley,1970,9,4,43.0,0,1970-09-01
If I Can Dream,Elvis Presley,1968,11,1,100.0,0,1968-11-01
If I Can Dream,Elvis Presley,1968,12,4,42.25,0,1968-12-01
If I Can Dream,Elvis Presley,1969,1,4,19.0,0,1969-01-01
If I Can Dream,Elvis Presley,1969,2,4,19.0,0,1969-02-01
If This Was A Movie,Taylor Swift,2011,11,1,10.0,0,2011-11-01
If This Was A Movie,Taylor Swift,2011,12,1,53.0,0,2011-12-01
If You Talk In Your Sleep,Elvis Presley,1974,6,4,54.75,0,1974-06-01
If You Talk In Your Sleep,Elvis Presley,1974,7,4,24.75,0,1974-07-01
If You Talk In Your Sleep,Elvis Presley,1974,8,5,54.6,0,1974-08-01
Illicit Affairs,Taylor Swift,2020,8,1,44.0,0,2020-08-01
In The Ghetto,Elvis Presley,1969,5,5,33.8,0,1969-05-01
In The Ghetto,Elvis Presley,1969,6,4,5.0,0,1969-06-01
In The Ghetto,Elvis Presley,1969,7,4,17.75,0,1969-07-01
Indescribably Blue,Elvis Presley With The Jordanaires and The Imperials Quartet,1967,1,1,77.0,0,1967-01-01
Indescribably Blue,Elvis Presley With The Jordanaires and The Imperials Quartet,1967,2,4,43.25,0,1967-02-01
Indescribably Blue,Elvis Presley With The Jordanaires and The Imperials Quartet,1967,3,3,41.666666666666664,0,1967-03-01
Innocent,Taylor Swift,2010,11,1,27.0,0,2010-11-01
Invisible String,Taylor Swift,2020,8,2,61.0,0,2020-08-01
Islands In The Stream,Kenny Rogers Duet With Dolly Parton,1983,8,1,58.0,1,1983-08-01
Islands In The Stream,Kenny Rogers Duet With Dolly Parton,1983,9,4,30.0,1,1983-09-01
Islands In The Stream,Kenny Rogers Duet With Dolly Parton,1983,10,5,4.8,1,1983-10-01
Islands In The Stream,Kenny Rogers Duet With Dolly Parton,1983,11,4,2.75,1,1983-11-01
Islands In The Stream,Kenny Rogers Duet With Dolly Parton,1983,12,5,10.8,1,1983-12-01
Islands In The Stream,Kenny Rogers Duet With Dolly Parton,1984,1,4,51.5,1,1984-01-01
Islands In The Stream,Kenny Rogers Duet With Dolly Parton,1984,2,2,84.5,1,1984-02-01
It Feels So Right,Elvis Presley With The Jordanaires,1965,6,2,76.0,0,1965-06-01
It Feels So Right,Elvis Presley With The Jordanaires,1965,7,4,62.0,0,1965-07-01
It Hurts Me,Elvis Presley With The Jordanaires,1964,2,1,78.0,0,1964-02-01
It Hurts Me,Elvis Presley With The Jordanaires,1964,3,4,35.25,0,1964-03-01
It Hurts Me,Elvis Presley With The Jordanaires,1964,4,2,35.0,0,1964-04-01
"It Isn't, It Wasn't, It Ain't Never Gonna Be",Aretha Franklin/Whitney Houston,1989,7,5,55.4,0,1989-07-01
"It Isn't, It Wasn't, It Ain't Never Gonna Be",Aretha Franklin/Whitney Houston,1989,8,3,58.333333333333336,0,1989-08-01
It's Nice To Have A Friend,Taylor Swift,2019,9,1,92.0,0,2019-09-01
It's Now Or Never,Elvis Presley With The Jordanaires,1960,7,2,29.0,0,1960-07-01
It's Now Or Never,Elvis Presley With The Jordanaires,1960,8,5,1.8,0,1960-08-01
It's Now Or Never,Elvis Presley With The Jordanaires,1960,9,4,2.75,0,1960-09-01
It's Now Or Never,Elvis Presley With The Jordanaires,1960,10,5,14.2,0,1960-10-01
It's Now Or Never,Elvis Presley With The Jordanaires,1960,11,4,62.0,0,1960-11-01
It's Only Love,Elvis Presley,1971,10,4,64.0,0,1971-10-01
It's Only Love,Elvis Presley,1971,11,2,54.5,0,1971-11-01
Ivy,Taylor Swift,2020,12,1,61.0,0,2020-12-01
Jimmy Lee,Aretha Franklin,1986,12,4,70.25,0,1986-12-01
Jimmy Lee,Aretha Franklin,1987,1,5,41.4,0,1987-01-01
Jimmy Lee,Aretha Franklin,1987,2,4,55.75,0,1987-02-01
Jolene,Dolly Parton,1974,1,1,92.0,1,1974-01-01
Jolene,Dolly Parton,1974,2,4,75.0,1,1974-02-01
Jolene,Dolly Parton,1974,3,3,61.0,1,1974-03-01
Judy,Elvis Presley,1967,9,4,84.25,0,1967-09-01
Judy,Elvis Presley,1967,10,1,78.0,0,1967-10-01
Jump,Aretha Franklin,1976,10,5,76.0,0,1976-10-01
Jump Then Fall,Taylor Swift,2009,11,3,47.333333333333336,0,2009-11-01
Jump To It,Aretha Franklin,1982,8,2,76.0,0,1982-08-01
Jump To It,Aretha Franklin,1982,9,4,36.5,0,1982-09-01
Jump To It,Aretha Franklin,1982,10,5,46.2,0,1982-10-01
Jump To It,Aretha Franklin,1982,11,1,99.0,0,1982-11-01
Jumpin' Jack Flash,Aretha Franklin,1986,9,1,61.0,0,1986-09-01
Jumpin' Jack Flash,Aretha Franklin,1986,10,4,38.0,0,1986-10-01
Jumpin' Jack Flash,Aretha Franklin,1986,11,5,34.8,0,1986-11-01
Jumpin' Jack Flash,Aretha Franklin,1986,12,1,100.0,0,1986-12-01
Just Tell Her Jim Said Hello,Elvis Presley With The Jordanaires,1962,8,3,72.0,0,1962-08-01
Just Tell Her Jim Said Hello,Elvis Presley With The Jordanaires,1962,9,2,56.5,0,1962-09-01
Justify My Love,Madonna,1990,11,2,41.0,0,1990-11-01
Justify My Love,Madonna,1990,12,5,8.2,0,1990-12-01
Justify My Love,Madonna,1991,1,4,2.5,0,1991-01-01
Justify My Love,Madonna,1991,2,4,37.25,0,1991-02-01
Justify My Love,Madonna,1991,3,1,86.0,0,1991-03-01
Keep It Together,Madonna,1990,2,4,39.75,0,1990-02-01
Keep It Together,Madonna,1990,3,5,15.0,0,1990-03-01
Keep It Together,Madonna,1990,4,4,44.5,0,1990-04-01
Kentucky Rain,Elvis Presley,1970,2,3,54.0,0,1970-02-01
Kentucky Rain,Elvis Presley,1970,3,4,18.25,0,1970-03-01
Kentucky Rain,Elvis Presley,1970,4,2,28.0,0,1970-04-01
King Of The Whole Wide World,Elvis Presley With The Jordanaires,1962,9,2,61.0,0,1962-09-01
King Of The Whole Wide World,Elvis Presley With The Jordanaires,1962,10,4,35.25,0,1962-10-01
King Of The Whole Wide World,Elvis Presley With The Jordanaires,1962,11,1,58.0,0,1962-11-01
Kiss Me Quick,Elvis Presley With The Jordanaires,1964,5,5,51.2,0,1964-05-01
Kiss Me Quick,Elvis Presley With The Jordanaires,1964,6,1,50.0,0,1964-06-01
Kissin' Cousins,Elvis Presley With The Jordanaires,1964,2,2,54.0,0,1964-02-01
Kissin' Cousins,Elvis Presley With The Jordanaires,1964,3,4,15.25,0,1964-03-01
Kissin' Cousins,Elvis Presley With The Jordanaires,1964,4,3,30.0,0,1964-04-01
La Isla Bonita,Madonna,1987,3,2,44.0,0,1987-03-01
La Isla Bonita,Madonna,1987,4,4,15.5,0,1987-04-01
La Isla Bonita,Madonna,1987,5,5,8.0,0,1987-05-01
La Isla Bonita,Madonna,1987,6,4,44.25,0,1987-06-01
La Isla Bonita,Madonna,1987,7,2,88.0,0,1987-07-01
Last Kiss,Taylor Swift,2010,11,1,71.0,0,2010-11-01
Let Yourself Go,Elvis Presley With The Jordanaires,1968,6,3,93.33333333333333,0,1968-06-01
Let Yourself Go,Elvis Presley With The Jordanaires,1968,7,2,76.0,0,1968-07-01
Life/Only Believe,Elvis Presley,1971,5,3,72.0,0,1971-05-01
Life/Only Believe,Elvis Presley,1971,6,4,55.75,0,1971-06-01
Light Of A Clear Blue Morning,Dolly Parton,1977,6,2,92.0,1,1977-06-01
Light Of A Clear Blue Morning,Dolly Parton,1977,7,3,87.66666666666667,1,1977-07-01
Like A Prayer,Madonna,1989,3,2,31.5,0,1989-03-01
Like A Prayer,Madonna,1989,4,5,4.2,0,1989-04-01
Like A Prayer,Madonna,1989,5,4,7.75,0,1989-05-01
Like A Prayer,Madonna,1989,6,4,50.25,0,1989-06-01
Like A Prayer,Madonna,1989,7,1,98.0,0,1989-07-01
Like A Virgin,Madonna,1984,11,2,43.0,0,1984-11-01
Like A Virgin,Madonna,1984,12,5,7.4,0,1984-12-01
Like A Virgin,Madonna,1985,1,4,1.0,0,1985-01-01
Like A Virgin,Madonna,1985,2,4,15.25,0,1985-02-01
Like A Virgin,Madonna,1985,3,4,70.0,0,1985-03-01
Little Sister,Elvis Presley,1961,8,2,43.5,0,1961-08-01
Little Sister,Elvis Presley,1961,9,4,10.75,0,1961-09-01
Little Sister,Elvis Presley,1961,10,5,19.6,0,1961-10-01
Little Sister,Elvis Presley,1961,11,2,52.0,0,1961-11-01
Live To Tell,Madonna,1986,4,3,36.0,0,1986-04-01
Live To Tell,Madonna,1986,5,5,6.8,0,1986-05-01
Live To Tell,Madonna,1986,6,4,4.5,0,1986-06-01
Live To Tell,Madonna,1986,7,4,38.75,0,1986-07-01
Live To Tell,Madonna,1986,8,2,87.5,0,1986-08-01
London Boy,Taylor Swift,2019,9,1,62.0,0,2019-09-01
Lonely Man,Elvis Presley With The Jordanaires,1961,2,1,84.0,0,1961-02-01
Lonely Man,Elvis Presley With The Jordanaires,1961,3,4,43.5,0,1961-03-01
Long Legged Girl (With The Short Dress On),Elvis Presley With The Jordanaires,1967,5,2,78.5,0,1967-05-01
Long Legged Girl (With The Short Dress On),Elvis Presley With The Jordanaires,1967,6,3,66.0,0,1967-06-01
Long Live,Taylor Swift,2010,11,1,85.0,0,2010-11-01
Long Story Short,Taylor Swift,2020,12,1,68.0,0,2020-12-01
Look Into Your Heart,Aretha Franklin,1977,2,4,84.0,0,1977-02-01
Look What You Made Me Do,Taylor Swift,2017,9,4,20.0,0,2017-09-01
Look What You Made Me Do,Taylor Swift,2017,10,4,3.75,0,2017-10-01
Look What You Made Me Do,Taylor Swift,2017,11,4,26.5,0,2017-11-01
Look What You Made Me Do,Taylor Swift,2017,12,5,55.4,0,2017-12-01
Look What You Made Me Do,Taylor Swift,2018,1,2,60.5,0,2018-01-01
Love All The Hurt Away,Aretha Franklin And George Benson,1981,8,1,89.0,0,1981-08-01
Love All The Hurt Away,Aretha Franklin And George Benson,1981,9,4,55.75,0,1981-09-01
Love All The Hurt Away,Aretha Franklin And George Benson,1981,10,5,65.2,0,1981-10-01
Love Don't Live Here Anymore,Madonna,1996,4,2,89.0,0,1996-04-01
Love Don't Live Here Anymore,Madonna,1996,5,4,81.25,0,1996-05-01
Love Don't Live Here Anymore,Madonna,1996,6,2,95.5,0,1996-06-01
Love Letters,Elvis Presley,1966,7,5,32.2,0,1966-07-01
Love Letters,Elvis Presley,1966,8,2,38.0,0,1966-08-01
Love Story,Taylor Swift,2008,9,1,16.0,0,2008-09-01
Love Story,Taylor Swift,2008,10,4,10.25,0,2008-10-01
Love Story,Taylor Swift,2008,11,5,15.4,0,2008-11-01
Love Story,Taylor Swift,2008,12,4,12.25,0,2008-12-01
Love Story,Taylor Swift,2009,1,5,5.2,0,2009-01-01
Love Story,Taylor Swift,2009,2,4,6.0,0,2009-02-01
Love Story,Taylor Swift,2009,3,4,10.5,0,2009-03-01
Love Story,Taylor Swift,2009,4,4,14.0,0,2009-04-01
Love Story,Taylor Swift,2009,5,5,19.4,0,2009-05-01
Love Story,Taylor Swift,2009,6,4,28.5,0,2009-06-01
Love Story,Taylor Swift,2009,7,4,35.25,0,2009-07-01
Love Story,Taylor Swift,2009,8,5,44.6,0,2009-08-01
Love Story (Taylor's Version),Taylor Swift,2021,2,1,11.0,0,2021-02-01
Love Story (Taylor's Version),Taylor Swift,2021,4,1,52.0,0,2021-04-01
Lover,Taylor Swift,2019,8,1,19.0,0,2019-08-01
Lover,Taylor Swift,2019,9,4,32.75,0,2019-09-01
Lover,Taylor Swift,2019,10,4,40.0,0,2019-10-01
Lover,Taylor Swift,2019,11,5,34.0,0,2019-11-01
Lover,Taylor Swift,2019,12,4,34.75,0,2019-12-01
Lover,Taylor Swift,2020,1,4,44.25,0,2020-01-01
Lucky Star,Madonna,1984,8,1,49.0,0,1984-08-01
Lucky Star,Madonna,1984,9,5,24.0,0,1984-09-01
Lucky Star,Madonna,1984,10,4,5.5,0,1984-10-01
Lucky Star,Madonna,1984,11,4,27.0,0,1984-11-01
Lucky Star,Madonna,1984,12,2,91.5,0,1984-12-01
ME!,Taylor Swift Featuring Brendon Urie,2019,5,4,28.25,0,2019-05-01
ME!,Taylor Swift Featuring Brendon Urie,2019,6,5,12.0,0,2019-06-01
ME!,Taylor Swift Featuring Brendon Urie,2019,7,4,44.25,0,2019-07-01
ME!,Taylor Swift Featuring Brendon Urie,2019,8,5,61.2,0,2019-08-01
ME!,Taylor Swift Featuring Brendon Urie,2019,9,2,32.5,0,2019-09-01
Mack The Knife,Ella Fitzgerald,1960,5,5,58.8,0,1960-05-01
Mack The Knife,Ella Fitzgerald,1960,6,4,29.5,0,1960-06-01
Mack The Knife,Ella Fitzgerald,1960,7,4,46.5,0,1960-07-01
Mack The Knife,Ella Fitzgerald,1960,8,1,70.0,0,1960-08-01
Mad Woman,Taylor Swift,2020,8,1,47.0,0,2020-08-01
Marjorie,Taylor Swift,2020,12,1,75.0,0,2020-12-01
Master Of Eyes (The Deepness Of Your Eyes),Aretha Franklin,1973,2,3,64.33333333333333,0,1973-02-01
Master Of Eyes (The Deepness Of Your Eyes),Aretha Franklin,1973,3,5,36.8,0,1973-03-01
Master Of Eyes (The Deepness Of Your Eyes),Aretha Franklin,1973,4,2,40.0,0,1973-04-01
Material Girl,Madonna,1985,2,3,33.666666666666664,0,1985-02-01
Material Girl,Madonna,1985,3,5,6.0,0,1985-03-01
Material Girl,Madonna,1985,4,4,11.0,0,1985-04-01
Material Girl,Madonna,1985,5,4,59.5,0,1985-05-01
Material Girl,Madonna,1985,6,1,100.0,0,1985-06-01
Me Against The Music,Britney Spears Featuring Madonna,2003,10,1,50.0,0,2003-10-01
Me Against The Music,Britney Spears Featuring Madonna,2003,11,5,39.6,0,2003-11-01
Me Against The Music,Britney Spears Featuring Madonna,2003,12,4,62.5,0,2003-12-01
Me Against The Music,Britney Spears Featuring Madonna,2004,1,3,89.66666666666667,0,2004-01-01
Mean,Taylor Swift,2010,11,1,11.0,0,2010-11-01
Mean,Taylor Swift,2011,4,4,64.0,0,2011-04-01
Mean,Taylor Swift,2011,5,4,46.75,0,2011-05-01
Mean,Taylor Swift,2011,6,4,35.75,0,2011-06-01
Mean,Taylor Swift,2011,7,5,40.6,0,2011-07-01
Mean,Taylor Swift,2011,8,2,62.0,0,2011-08-01
Memories,Elvis Presley,1969,3,2,59.5,0,1969-03-01
Memories,Elvis Presley,1969,4,4,39.75,0,1969-04-01
Memories,Elvis Presley,1969,5,1,41.0,0,1969-05-01
Mine,Taylor Swift,2010,8,2,5.5,0,2010-08-01
Mine,Taylor Swift,2010,9,4,10.0,0,2010-09-01
Mine,Taylor Swift,2010,10,5,12.6,0,2010-10-01
Mine,Taylor Swift,2010,11,4,18.25,0,2010-11-01
Mine,Taylor Swift,2010,12,4,41.75,0,2010-12-01
Mine,Taylor Swift,2011,1,4,43.75,0,2011-01-01
Mirrorball,Taylor Swift,2020,8,2,59.5,0,2020-08-01
Miss Americana & The Heartbreak Prince,Taylor Swift,2019,9,1,49.0,0,2019-09-01
Mockingbird,Aretha Franklin,1967,12,2,94.0,0,1967-12-01
Moody Blue/she Thinks I Still Care,Elvis Presley,1976,12,1,82.0,0,1976-12-01
Moody Blue/she Thinks I Still Care,Elvis Presley,1977,1,5,57.0,0,1977-01-01
Moody Blue/she Thinks I Still Care,Elvis Presley,1977,2,4,36.0,0,1977-02-01
Moody Blue/she Thinks I Still Care,Elvis Presley,1977,3,3,43.666666666666664,0,1977-03-01
Mr. D.J. (5 For The D.J.),Aretha Franklin,1975,9,2,78.0,0,1975-09-01
Mr. D.J. (5 For The D.J.),Aretha Franklin,1975,10,3,56.333333333333336,0,1975-10-01
Mr. Perfectly Fine (Taylor's Version) (From The Vault),Taylor Swift,2021,4,2,60.0,0,2021-04-01
Mr. Perfectly Fine (Taylor's Version) (From The Vault),Taylor Swift,2021,5,1,90.0,0,2021-05-01
Music,Madonna,2000,8,3,27.333333333333332,0,2000-08-01
Music,Madonna,2000,9,5,3.8,0,2000-09-01
Music,Madonna,2000,10,4,1.75,0,2000-10-01
Music,Madonna,2000,11,4,4.0,0,2000-11-01
Music,Madonna,2000,12,5,19.8,0,2000-12-01
Music,Madonna,2001,1,3,33.333333333333336,0,2001-01-01
My Boy,Elvis Presley,1975,1,1,82.0,0,1975-01-01
My Boy,Elvis Presley,1975,2,4,42.75,0,1975-02-01
My Boy,Elvis Presley,1975,3,5,31.6,0,1975-03-01
My Boy,Elvis Presley,1975,4,1,60.0,0,1975-04-01
My Song,Aretha Franklin,1968,11,1,77.0,0,1968-11-01
My Song,Aretha Franklin,1968,12,4,51.0,0,1968-12-01
My Song,Aretha Franklin,1969,1,2,36.0,0,1969-01-01
My Tears Ricochet,Taylor Swift,2020,8,2,42.5,0,2020-08-01
My Way,Elvis Presley,1977,11,3,61.0,0,1977-11-01
My Way,Elvis Presley,1977,12,5,28.0,0,1977-12-01
My Way,Elvis Presley,1978,1,4,52.0,0,1978-01-01
My Wish Came True,Elvis Presley With The Jordanaires,1959,7,3,29.333333333333332,0,1959-07-01
My Wish Came True,Elvis Presley With The Jordanaires,1959,8,5,15.4,0,1959-08-01
My Wish Came True,Elvis Presley With The Jordanaires,1959,9,3,35.666666666666664,0,1959-09-01
Never Grow Up,Taylor Swift,2010,11,1,84.0,0,2010-11-01
New Romantics,Taylor Swift,2015,3,1,71.0,0,2015-03-01
New Romantics,Taylor Swift,2016,3,1,73.0,0,2016-03-01
New Romantics,Taylor Swift,2016,4,5,60.0,0,2016-04-01
New Romantics,Taylor Swift,2016,5,1,78.0,0,2016-05-01
"No Body, No Crime",Taylor Swift Featuring HAIM,2020,12,1,34.0,0,2020-12-01
"No Body, No Crime",Taylor Swift Featuring HAIM,2021,1,1,97.0,0,2021-01-01
Nothing Really Matters,Madonna,1999,5,2,96.0,0,1999-05-01
Oh Father,Madonna,1989,11,3,46.666666666666664,0,1989-11-01
Oh Father,Madonna,1989,12,5,26.8,0,1989-12-01
Oh Father,Madonna,1990,1,4,39.5,0,1990-01-01
Oh Father,Madonna,1990,2,1,100.0,0,1990-02-01
Oh Me Oh My (I'm A Fool For You Baby),Aretha Franklin,1972,1,3,77.0,0,1972-01-01
Oh Me Oh My (I'm A Fool For You Baby),Aretha Franklin,1972,2,1,76.0,0,1972-02-01
One Broken Heart For Sale,Elvis Presley With The Mello Men,1963,2,2,42.0,0,1963-02-01
One Broken Heart For Sale,Elvis Presley With The Mello Men,1963,3,5,14.0,0,1963-03-01
One Broken Heart For Sale,Elvis Presley With The Mello Men,1963,4,2,38.5,0,1963-04-01
One Night,Elvis Presley,1958,11,3,17.0,0,1958-11-01
One Night,Elvis Presley,1958,12,5,4.8,0,1958-12-01
One Night,Elvis Presley,1959,1,4,10.75,0,1959-01-01
One Night,Elvis Presley,1959,2,4,50.75,0,1959-02-01
One Night,Elvis Presley,1959,3,1,92.0,0,1959-03-01
Only The Young,Taylor Swift,2020,2,1,50.0,0,2020-02-01
Open Your Heart,Madonna,1986,12,4,34.5,0,1986-12-01
Open Your Heart,Madonna,1987,1,5,10.0,0,1987-01-01
Open Your Heart,Madonna,1987,2,4,7.5,0,1987-02-01
Open Your Heart,Madonna,1987,3,4,53.5,0,1987-03-01
Open Your Heart,Madonna,1987,4,1,98.0,0,1987-04-01
Our Song,Taylor Swift,2007,10,3,69.66666666666667,0,2007-10-01
Our Song,Taylor Swift,2007,11,4,36.25,0,2007-11-01
Our Song,Taylor Swift,2007,12,5,23.6,0,2007-12-01
Our Song,Taylor Swift,2008,1,4,19.75,0,2008-01-01
Our Song,Taylor Swift,2008,2,4,25.0,0,2008-02-01
Our Song,Taylor Swift,2008,3,5,36.4,0,2008-03-01
Our Song,Taylor Swift,2008,4,4,32.0,0,2008-04-01
Our Song,Taylor Swift,2008,5,5,32.2,0,2008-05-01
Our Song,Taylor Swift,2008,6,2,48.0,0,2008-06-01
Ours,Taylor Swift,2011,11,1,13.0,0,2011-11-01
Ours,Taylor Swift,2011,12,5,66.4,0,2011-12-01
Ours,Taylor Swift,2012,1,4,44.5,0,2012-01-01
Ours,Taylor Swift,2012,2,4,44.75,0,2012-02-01
Ours,Taylor Swift,2012,3,5,43.8,0,2012-03-01
Ours,Taylor Swift,2012,4,1,42.0,0,2012-04-01
Out Of The Woods,Taylor Swift,2014,11,2,47.5,0,2014-11-01
Out Of The Woods,Taylor Swift,2016,1,2,50.5,0,2016-01-01
Out Of The Woods,Taylor Swift,2016,2,4,48.5,0,2016-02-01
Out Of The Woods,Taylor Swift,2016,3,2,65.0,0,2016-03-01
Papa Don't Preach,Madonna,1986,6,1,42.0,0,1986-06-01
Papa Don't Preach,Madonna,1986,7,4,19.25,0,1986-07-01
Papa Don't Preach,Madonna,1986,8,5,2.2,0,1986-08-01
Papa Don't Preach,Madonna,1986,9,4,21.25,0,1986-09-01
Papa Don't Preach,Madonna,1986,10,4,72.5,0,1986-10-01
Paper Rings,Taylor Swift,2019,9,1,45.0,0,2019-09-01
Peace,Taylor Swift,2020,8,1,58.0,0,2020-08-01
Picture To Burn,Taylor Swift,2008,3,5,73.2,0,2008-03-01
Picture To Burn,Taylor Swift,2008,4,4,44.0,0,2008-04-01
Picture To Burn,Taylor Swift,2008,5,5,34.8,0,2008-05-01
Picture To Burn,Taylor Swift,2008,6,4,73.0,0,2008-06-01
Picture To Burn,Taylor Swift,2008,7,2,85.5,0,2008-07-01
Please Don't Stop Loving Me,Elvis Presley,1966,3,2,77.0,0,1966-03-01
Please Don't Stop Loving Me,Elvis Presley,1966,4,5,48.4,0,1966-04-01
Please Don't Stop Loving Me,Elvis Presley,1966,5,1,66.0,0,1966-05-01
Promised Land,Elvis Presley,1974,10,1,86.0,0,1974-10-01
Promised Land,Elvis Presley,1974,11,5,31.0,0,1974-11-01
Promised Land,Elvis Presley,1974,12,4,21.25,0,1974-12-01
Promised Land,Elvis Presley,1975,1,3,50.333333333333336,0,1975-01-01
