Title,Artists,Writers,Album,Year
Cracker Jack,,,Jolene,2007
Creepin' In,Norah Jones,Lee Alexander,Feels Like Home,2004
Crimson and Clover,Tommy James,Peter P. Lucia Jr.;Tommy James,Those Were the Days,2005
Crippled Bird,,,Something Special,1995
Cross My Heart,,Frank Dycus;Rachel Dennison;Randy Parton,Slow Dancing with the Moon,1993
"Cry, Cry Darlin'",,J.D. Miller;Jimmy C. Newman,Big Mon: The Songs of Bill Monroe,2000
"Cuddle Up, Cozy Down Christmas",Michael Bublé,,A Holly Dolly Christmas,2020
Curse of the Wild Weed Flower,Porter Wagoner,Louis Owens,Two of a Kind,1971
D-I-V-O-R-C-E,,Bobby Braddock;Curly Putman,In the Good Old Days (When Times Were Bad),1969
Daddy,,,My Blue Ridge Mountain Boy,1969
Daddy Come and Get Me,,Dorothy Jo Hope,The Fairest of Them All,1970
Daddy Come and Get Me,,Dorothy Jo Hope,A Real Live Dolly,2009
Daddy Did His Best,Porter Wagoner,Jerry Chesnut,Porter & Dolly,1980
Daddy Did His Best,Porter Wagoner,Jerry Chesnut,"Just Between You and Me: The Complete Recordings, 1967–1976",2014
Daddy Was an Old Time Preacher Man,Porter Wagoner,Dorothy Jo Hope,Once More,1970
Daddy Was an Old Time Preacher Man,Porter Wagoner,Dorothy Jo Hope,"Just Between You and Me: The Complete Recordings, 1967–1976",2014
Daddy Won't Come Home Anymore,,,As Long as I Love,1970
Daddy's Moonshine Still,,,Joshua,1971
Daddy's Old Fiddle,The Charlie Daniels Band,,Deuces,2007
Daddy's Working Boots,,,My Tennessee Mountain Home,1973
Dagger Through the Heart,,,Halos & Horns,2002
Dagger Through the Heart,,,Live and Well,2004
Dark as a Dungeon,,Merle Travis,9 to 5 and Odd Jobs,1980
"Dark Night, Bright Future",,,"Run, Rose, Run",2022
Deck the Halls,,Thomas Oliphant,Home for Christmas: The Radio Special,1990
Demons,Ben Haggard,,"Run, Rose, Run",2022
Deportee (Plane Wreck at Los Gatos),,Martin Hoffman;Woody Guthrie,9 to 5 and Odd Jobs,1980
Detroit City,,Danny Dill;Mel Tillis,9 to 5 and Odd Jobs,1980
Dirty Job,,,Straight Talk,1992
Dixie Darling,Arlo Guthrie,A.P. Carter,Banjoman: A Tribute to Derroll Adams,2002
Do I Ever Cross Your Mind,Chet Atkins,,The Best of Chet Atkins & Friends,1976
Do I Ever Cross Your Mind,,,Heartbreak Express,1982
Do I Ever Cross Your Mind,,,Think About Love,1986
Do I Ever Cross Your Mind,Randy Travis,,Heroes & Friends,1990
Do I Ever Cross Your Mind,Emmylou Harris,,Trio II,1999
Do I Ever Cross Your Mind,,,Live at the Boarding House,2006
Do I Ever Cross Your Mind,,,Live from London,2009
